SED_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SED25102,41,2000,864,385,2402,0.8,2111,2.7
SED25205,41,2167,939,406,2605,0.8,2048,2.5
SED25302,47,2167,822,440,2399,0.7,1900,2.5
SED25402,41,1270,677,240,1742,0.7,1329,2.3
SED25501,40,2562,759,477,2278,0.8,2000,2.8
SED25605,41,2000,693,380,1921,0.8,1647,2.7
SED25704,45,1257,676,230,1636,0.7,1270,2.3
SED25802,42,1582,704,300,1849,0.7,1431,2.5
SED25905,37,1800,717,361,1962,0.8,1780,2.9
SED26005,34,1860,757,386,2074,0.9,2010,3.3
SED26102,52,1900,717,371,1813,0.7,1376,2.2
SED26207,42,2167,805,406,2357,0.8,1923,2.6
SED26303,37,2200,1101,411,2930,0.9,2120,2.3
SED26406,35,2167,858,400,2408,0.9,1873,2.4
SED26504,47,1354,696,260,1677,0.7,1286,2.3
SED26603,36,2058,884,392,2338,0.9,1947,2.5
SED26708,45,1501,745,260,1879,0.7,1440,2.4
SED26806,35,2100,1330,412,2985,0.9,2042,1.8
SED26903,37,2000,776,366,2088,0.9,1623,2.4
SED27003,34,2300,1348,450,3135,1,2267,2
SED27101,38,2100,869,391,2361,0.8,1888,2.5
SED27208,47,1192,625,240,1533,0.7,1166,2.3
SED27305,41,2080,838,426,2404,0.8,2198,2.9
SED27406,44,2500,1053,440,3043,0.8,2220,2.4
SED27504,40,1300,702,260,1731,0.8,1373,2.5
SED27608,36,1900,886,411,2361,0.8,2051,2.7
SED27708,44,1346,733,277,1839,0.7,1408,2.4
SED27807,37,1600,548,331,1457,0.9,1331,2.7
SED27907,38,1800,819,370,2152,0.8,1812,2.6
SED28007,36,1942,780,381,2237,0.9,2107,3.1
SED28107,31,1924,828,376,2062,0.9,2023,3.2
SED28203,35,1900,631,361,1671,0.9,1516,2.9
SED28301,43,2400,784,462,2438,0.8,2134,2.9
SED28408,40,1478,745,300,1879,0.7,1416,2.3
SED28507,34,1733,784,340,1990,0.8,1746,2.8
SED28607,38,2473,1115,438,2991,0.9,2315,2.5
SED28704,34,1993,893,381,2277,0.8,2116,3
SED28803,32,1950,714,390,1943,0.9,1890,3.3
SED29494,0,0,0,0,0,0,0,0
SED29797,50,0,2200,0,0,0,0,0
SED30001,34,1750,803,390,2003,0.8,1865,2.9
SED30002,40,2068,924,430,2491,0.7,2174,2.7
SED30003,37,1787,755,380,1935,0.8,1683,2.7
SED30004,41,1733,854,380,2098,0.8,1743,2.5
SED30005,41,1733,691,410,1704,0.8,1364,2.3
SED30006,50,2070,768,480,2024,0.7,1601,2.3
